Title,Year,Genre,Synopsis,IMDb id
The Body,NA,"Drama, Mystery, Romance",A crucified body dated back to the first century A.D is uncovered at an ancient cave in Jerusalem. Trouble ensues as word spreads.,0201485
Children of the Steps,NA,Drama,Add a Plot,0147732
Wanted: Four Legged Husband,NA,Comedy,Add a Plot,0107542
Billy Two Hats,NA,"Romance, Western","After a bank robbery, runaway Scottish outlaw Arch Deans and his young half breed Kiowa partner Billy Two Hats develop a father-son relationship but Sheriff Henry Gifford is determined to capture or kill them.",0069786
Walk on Water,NA,"Drama, Mystery, Thriller","Following the suicide of his wife, an Israeli intelligence agent is assigned to befriend the grandchildren of a Nazi war criminal.",0352994
The Frog Prince,NA,"Drama, Family, Fantasy","Children's musical based on Grimm's fairy tale of The Frog-King. A young girl learns how to be a good friend and princess with the help of a ""tall frog.""",0095182
Yossi & Jagger,NA,"Drama, Romance, War","Romance blooms between two soldiers (Knoller, Levi) stationed in an Israeli outpost on the Lebanese border.",0334754
Consolation,NA,Drama,An allegorical drama about a woman who wakes up on the morning of the last day of her life and her family are able to accept it.,1693784
The Immigrant,NA,Fantasy,Add a Plot,2831500
Without Home,NA,Drama,This is the story of a small band of Jews who traveled on foot from Yemen to Israel in 1926. Naomi (Shoshana Damari) is a Jewish woman who was orphaned as a child and works as an ...                See full summary »,0133390
A Day Full of Grace,NA,Drama,Add a Plot,6333014
Foxtrot,NA,"Drama, War",A troubled family must face the facts when something goes terribly wrong at their son's desolate military post.,6896536
Adam Resurrected,NA,Drama,"In the aftermath of World War II, a former circus entertainer who was spared from the gas chamber becomes the ringleader at an asylum for Holocaust survivors.",0479341
Too Late,NA,"Drama, Romance",Add a Plot,11229516
Scoring Mental,NA,"Drama, Fantasy, Music",Add a Plot,2791412
Ubiystvo po neostorozhnosti,NA,Drama,Add a Plot,3142900
Eyes Wide Open,NA,"Drama, Romance","A married, Orthodox, Jerusalem butcher and Jewish father of four falls in love with his handsome, 22-year-old male apprentice, triggering the suspicions of his wife and the disapproval of his Orthodox community.",1424327
