,Title,Year,Genre,Synopsis,IMDb id
0,The Lost Daughter,2021,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,9100054
1,Knock Knock,2015,"Drama, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",3605418
2,Cobra,1986,"Action, Crime, Thriller",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,0090859
3,The Delta Force,1986,"Action, Adventure, Drama","After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.",0090927
4,The Kindergarten Teacher,2018,"Drama, Thriller",A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.,6952960
5,Where Is Anne Frank,2021,Drama,NA,3454424
6,Children of the Steps,1984,Comedy,NA,0147732
7,Wanted: Four Legged Husband,1993,Drama,An allegorical drama about a woman who wakes up on the morning of the last day of her life and her family are able to accept it.,0107542
8,Consolation,2010,Fantasy,NA,1693784
9,The Immigrant,1991,"Comedy, Drama","A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary.",2831500
10,Without Home,1956,"Biography, Drama","A look at the life of philosopher and political theorist Hannah Arendt, who reported for 'The New Yorker' on the trial of the Nazi leader Adolf Eichmann in Jerusalem.",0133390
11,Synonyms,2019,"Drama, Horror","During an outbreak of a deadly plague in Lithuania, a mystical woman must save her tight-knit Jewish community from a gang of ruffians led by a local landowner, but the entity she conjures to protect them is a far greater evil.",7016254
12,Hannah Arendt,2012,Drama,"When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way.",1674773
13,The Golem,2018,"Fantasy, Family, Musical","A musical version of the classic story about a miller's daughter who receives help from a mischievous dwarf, then ends up over her head. Now, she and a mute servant girl may be the only hope for her baby son, John.",8329290
14,Sand Storm,2016,"Action, Drama, Thriller",A woman forced to work for the Russian Mafia as an assassin agrees to help her next-door neighbor kill her abusive husband.,4365518
15,Rumpelstiltskin,1987,Drama,"Despite living together, Asia barely interacts with her daughter Vika. Their routine is shaken when Vika's health deteriorates rapidly. Asia must step in and become the mother Vika so desperately needs",0093891
16,Rabies,2010,"Action, Drama, Sci-Fi","After a massive earthquake destroys Los Angeles, a new order is formed. But disagreement among the ranks leads to more war and disruption, and The Last Patrol must bring order if there's to be any hope for the future.",1754000
17,The Assassin Next Door,2009,"Animation, Family, History","King Solomon, son of King David of Jerusalem, is in a journy to find his place as king while facing a demonic creature and queen Sheeba.",1198153
18,Asia,2020,"Comedy, Romance","A couple want to find out the dirt about each other. She decided to do a project about her best friend, trying to find true love for him. Until his soul mate hits him in the middle of the street.",10032266
19,The Last Patrol,2000,"Action, Drama",A young boy finds a stack of his sister's secret letters who's been missing since their mother's death. He sets off on the journey of a lifetime to reunite with her and he meets a man who calls himself the last true Communist.,0214871
20,Blush,2015,"Drama, History, War","In May 1948, shortly before the creation of the State of Israel, hundreds of immigrants from across Europe arrive in Palestine--only to risk arrest by British troops.",5022872
21,A Story of David: The Hunted,1960,"Comedy, Drama, Romance","Trying to escape her tumultuous home life, Naama, 17, indulges in alcohol and drugs, but everything changes when she meets a sexy, free-spirited new girl at school and the two become more than fast friends.",0054342
22,The Legend of King Solomon,2017,"Drama, Romance, War","14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish.",3887158
23,Od Sipur Echad,2021,"Crime, Drama, Romance","Johnny wants to be a stock car racer one day. He meets a young, gay hustler in Vegas, who takes him to meet his friends/gang and his ""mom"", an ex hooker etc.",15439424
24,Comrade,2006,"Action, Comedy","After an American tech-billionaire is kidnapped in Israel, the Mossad rushes to save him while the CIA send their best agent to help out.",0391788
25,Kedma,2002,"Comedy, Drama, Romance","""The Bubble"" is the story of a group of young people who live in Tel Aviv, Israel. The movie follows the group's difficulties of living in Israel's reality. Their routine breaks when a young Palestinian man enters their lives.",0304267
26,Noodle,2007,Drama,"After a lukewarm marriage of over twenty years, a woman appeals to her husband's compassion to obtain the desirable divorce document in front of a court, which proves to be more challenging than she would expect.",0892332
27,Fateless,2005,Drama,"While her mother is away from home, 12-year-old Adar's role-playing games with her stepfather move into dangerous territory. Seeking an escape, Adar finds Alan-an ethereal boy who joins her on a dark journey between reality and fantasy.",0367082
28,Speedway Junky,1999,Drama,"Secrets, lies, surprises and more are explored in this rich selection of gay short films from Israel.",0155197
29,Mossad,2019,Drama,A young Israeli woman from a wealthy family volunteers at a soup kitchen in Tel Aviv.,10370402
30,The Bubble,2006,"Action, Drama, Thriller","While vacationing in Lebanon, a former secret agent finds he has been marked for assassination.",0476643
31,Gett,2014,"Drama, Sport",Eitan is yesterday's football star waiting for a tomorrow. He is a man who has nothing left but guts consulting the prospects of having to find a new profession and having to face a loving woman who doesn't understand his problems.,3062880
32,Princess,2014,"Drama, Romance","At first, they make love even if they are not in the same country. She's in Paris, he's in Tel Aviv. Time passes and over-communication kills their privacy. In the end, they fall in love for the first time.",1603900
33,Promised Land,2004,Drama,"For Anat, music is everything. Having never been able to reach her father's musical standards, she rests her hopes on the child she's about to have. When the baby is born deaf, Anat succumbs to extreme measures to keep the dream alive.",0424365
34,The Israeli Boys,2020,Drama,"A contemporary variation in a classical music setting of the biblical story of Abraham, Sarah and Hagar.",11680668
35,Shake Your Cares Away,2021,Comedy,"An army sergeant (Topol) narrates in flash-backs his love adventures with several women, including some women soldiers.",5851558
36,The Sell-Out,1976,"Drama, Thriller","An impossible love story between Yossi, a former IDF soldier, and Dora, a mysterious French photographer visiting Israel, as they both struggle in vain to leave their pasts behind",0075188
37,All My Life,2008,"Drama, History",A love story based on actual events set during the turbulent period of pre-state Israel 1947-48.,1334617
38,Hole in the Moon,1964,Drama,NA,0058206
39,The Hero,1970,Drama,NA,0068694
40,The End of Love,2019,Drama,"Story of a war-widow pressured by her friends to behave in the role of the heroic widow, and the journey she takes in a country of people under siege.",10850214
41,God of the Piano,2019,"Crime, Drama","When you wage war on your community, you wage war on your family.",9647298
42,Dizengoff 99,1979,Drama,NA,0079060
43,Harmonia,2016,Drama,NA,5143744
44,Ha-Tarnegol,1971,"Crime, Thriller","The murder of a mysterious woman unfolds the brutal story of an Israeli radical group, the tycoon they are hunting for and the crooked cops that are stuck in between.",0142898
45,Paradise Cruise,2013,Drama,NA,2252614
46,An Israeli Love Story,2017,"Comedy, Drama",NA,6077176
47,The House on Fin Street,2021,NA,NA,4365590
48,Indoors,2016,Drama,"Gidi ""the tall"" and Jako ""the short"", are two bums who colourfully paint the gray streets of Tel Aviv, trying to make some money and find a shelter.",5991264
49,The Dead of Jaffa,2019,Drama,Iconic performer Marlene Dietrich and a young female journalist who survived the Holocaust reconcile with their pasts while falling in love in 1960 Israel.,10660366
50,Dead End,2006,Drama,NA,0833438
