Title,Year,Genre,Synopsis,IMDb id
Sabina,1966,"Comedy, Drama",NA,0138071
On My Own,1988,Drama,NA,0146670
The Last Suspect,2005,"Crime, Drama",NA,2495226
Unseen,2019,Drama,"Matan is a young and idealistic teacher, but his students are not convinced. He wanted his lessons to be different, but he cannot seem to find the right path. Matan insists on preparing his...                See full summary »",10230288
Places,2007,"Comedy, Drama, Sci-Fi","The unexpected meeting of a New-York therapist, obsessed with order and conformity, with a young woman possessing supernatural powers.",1116812
The Vulture,1981,Drama,"Boaz, a reserve soldier returns from the battlefield and becomes involved in editing a memorial album dedicated to a friend who was killed before his eyes. He becomes increasingly involved ...                See full summary »",0083604
Igor & the Cranes' Journey,2012,"Adventure, Family",An estranged father and son are brought together by a young crane named Karl as they trace a family of the birds on their migratory journey from Russia to Africa.,1906396
10% My Child,2014,"Comedy, Drama","Franny is 7 years old. Franny's mother's new boyfriend is 26 year old Nico.To be with Franny's Mom, Nico has to win Franny's heart. Nico is trying to be a film maker but couldn't even ...                See full summary »",2339406
August Snow,1993,Drama,NA,0143876
Max and Morris,1994,"Comedy, Crime, Music",NA,0126417
Operation Black September,1976,"Action, Thriller",Terrorist Palestine organization hijacks a jet.,0487721
Melanoma My Love,2006,Drama,NA,0856092
Topele,1968,"Comedy, Drama, Musical","Topele recreates in loving detail the economically poor but culturally rich world of the ""shtedtl"" or small town, with its bustling marketplace, muddy duck pond, and vodka-guzzling police ...                See full summary »",0139492
Water,2012,Drama,A unique Israeli/Palestinian cooperation.,2390250
Ecliptica Welcome Mexico,2013,"Adventure, Drama, Romance",The challenges of Uriel Goldstein a Jewish man in the Nazi Germany and a mexican artist Luciano in Berlin waging a symbolic battle between ideologies of our time.,2925892
Zaya,1999,"Drama, Romance","Zaya"" is based on a true story that took place in Morocco in the 30s-40s The film tells the tragic story of the love and fate of a Jewish girl, Zaya, who grew up amongst the strict Berber ...                See full summary »",0278828
Final Exams,1983,Drama,NA,0085541
Uncle Peretz Takes Off,1993,"Romance, Drama",Based on a short story by Yaakov Shabtai.,0176659
