Title,Year,Genre,Synopsis,IMDb id
The End of Milton Levy,1981,Drama,NA,0146281
The Wanderer,2010,Drama,"Isaac, a young yeshiva student, is an only child to born again orthodox parents. Trapped in a dysfunctional family and a failing body, Isaac finds refuge in wandering. Tormented by his ...                See full summary »",1646969
White Panther,2013,"Drama, Sport","In the 1990's a million former USSR Jews arrived in Israel. The immigrants were despised by the local population who feared their 'invasion'. While many embraced the Israeli lifestyle, ...                See full summary »",2614342
American Citizen,1992,"Drama, Sport","An Israeli sports journalist befriends an American basketball pro playing in Israel. Although from very different backgrounds, their love for the game deepens their friendship. Each learns to value the other's culture.",0104219
The Road to Where,2016,Drama,"Israel 1948. A house by the sea in Jaffa, from which Palestinian families have had to flee in haste, becomes the home of Jewish survivors who managed to escape the inferno in Europe. Out of...                See full summary »",6126442
White Night,1995,Drama,"Charlie tries to clean himself off drugs, with the help of his prison cell mate Shlomo. Althou coming from different background they manage to build a true friendship.",0116843
42:6 - Ben Gurion,1969,History,"Excerpts from six hours of interviews with Ben Gurion, his friends, family, and also detractors, reconstructing important landmarks from his life.",0149563
Sipuray Bate Kafe',2003,Drama,Cafe Tales is the story of five Israeli men and their efforts to save a local cafe from demolition. The film addresses in a comical and usually edgy way the ironies of fate and the ...                See full synopsis »,0386041
Joseph the Dreamer,1962,"Drama, Animation",NA,0056125
Black Box,1993,"Drama, Romance",Based on a novel by Amos Oz..,0110287
Shalom (Wayfarer's Prayer),1973,Drama,"Shalom, a young Israeli at the outset of his life, was born into a bourgeois family in Tel-Aviv. His parents wish he would go to college, but Shalom doesn't feel like studying. His father ...                See full summary »",0152387
"Ha-Tzel, Shel Hachiuch Shelchah",1998,"Drama, Romance",NA,0162717
Spiral,2013,Romance,A lonely dancer has her life changed when she falls in love with a social activist.,13694588
April Fool,1989,Comedy,NA,0126279
Belfer,1978,Drama,NA,0133407
West Side Girl,1979,"Drama, Music","Vered, an attractive blind singer, meets and is befriended by three students. The trio decides to save enough money for the surgery which may restore Vered's sight. After many attempts, two...                See full summary »",0151709
Rita Shem Zemani,2007,Drama,"Rita is a screenwriter challenged by writer's block. With the help of her friend, actor Gadi, she struggles with four different scripts about friendship, adultery, and unfulfilled desires. ...                See full summary »",6790658
Millionaire in Trouble,1978,Comedy,A comedy about a millionaire who pretends to be not a millionaire.,0077934
Goldberg & Eisenberg: Til Death Do Us Part,2013,"Drama, Horror, Thriller",Goldberg is a mediocre computer programmer. Eisenberg is an emotionally disturbed thug. Unfortunately the two cross paths.,2621664
Let's Blow a Million,1977,Drama,"For eight and a half years Grego, known as ""The Greek"", is in prison and contimuously planning his revenge former partner, Shaby. So is it a big surprise when the great enemy of Shaby is extracting him from the prison?",0133519
Tel Aviv Stories,1992,"Comedy, Drama, Romance",Three stories about three women: one is trying to find the right guy; one is trying to get a divorce from her runaway husband so she takes hostages; one turns Tel Aviv upside down in order to save a kitten trapped in a storm drain.,0105416
5 and 5,1980,"Comedy, Musical","A squad of tired soldiers is getting ready for a vacation after training; they accept the gracious invitation of a nearby village to spend their time there, while the village boys are away ...                See full summary »",0080834
Brennender Sand,1960,Adventure,"A group of adventurers search for a treasure of ancient biblical scrolls that the;y believe are hidden in the lost city of Petra, somewhere in Jordan. According to legend, no one has ever ...                See full summary »",0053676
A Thousand Little Kisses,1981,Drama,"In contemporary Tel Aviv, a mother and daughter confront each other after the death of the father/husband and the discovery of the dead man's secret affair. The daughter is drawn ...                See full summary »",0133734
Ha-Mangalistim,2003,Drama,"A family of Iraqi-Israelis, each with his or her own weaknesses and determination, gathers for an Independence Day picnic. Their background stories are presented, reaching back as little as...                See full summary »",0316218
Take Off,1970,Comedy,NA,0144968
Strangers in the Night,1993,Drama,NA,0145588
The Pill,1972,"Drama, Fantasy",NA,0142312
Cheer Me Up,2016,Drama,"Gili dreams of becoming an independent woman. Noam, her husband, cannot possibly think of releasing his hold of her, he loves her to death. Their 8-year old son Assaf just wants a ""normal ...                See full summary »",4832000
Ovdim Al Ha'Olam,1983,Comedy,NA,0147138
Voice Over,2018,Drama,"Fifty years after Slow Down by Avraham Heffner won a prize at Venice Film Festival, top alumni of the Jerusalem Sam Spiegel Film School challenge the 1968 legendary black and white ...                See full summary »",9747894
Mrs. Moskowitz and the Cats,2009,Drama,NA,1486803
Under Western Eyes,1996,"Action, Comedy, Drama","The winner of the 1995 Jerusalem Film Festival, this political thriller centers on a young hero who returns to Israel from Berlin to ostensibly attend the funeral of his father, a convicted...                See full summary »",0116857
Where Eagles Fly,1990,Drama,NA,0100922
Girls,1985,Comedy,Four weeks of basic training for girls in the IDF: seven girls and two sergeants from different backgrounds.,0133399
Black Light,2009,Drama,"Alon undergoes innovative psychotherapy in New York. He embarks on a tempestuous, soul-searching journey, seeking out the details of his mother's childhood in Poland. He does this as a way ...                See full summary »",1541638
Epilogue,2012,Drama,"Hayuta and Berl, an elderly couple, find it hard to adjust to today's Israel and to the social changes surrounding them.",2197566
The Dybbuk,1968,Drama,NA,0139168
A Dangerous Dance,2007,"Drama, Romance","Joseph, a young handsome unemployed from a small town in the South, spends his nights at the local dance-bar. He's the best Latino dancer in town - all the girls fall for him, charmed by ...                See full summary »",0830833
One Small Step,2003,Drama,"Witnessing their good friend trying to cope with his cancer, three teenagers are determined to make him lose his virginity in case he doesn't survive.",0343125
Who Will Start Another Fire,2021,Drama,"An omnibus film featuring nine works by emerging filmmakers of color, Who Will Start Another Fire is the inaugural project of Dedza Films, a distribution company focused on showcasing ...                See full summary »",14784780
La cage de verre,1965,Drama,A study of conscience set against the trial of Eichmann in Israel.,0137783
Bravery,2018,"Action, Drama, History",A abandonment story of kibbutz Saar-Hagolan in the Israeli Independence war.,6996020
Overture 1812,1997,"Drama, Action, Comedy",NA,0265479
Chronicle of Love,1999,Drama,"Nava, a social worker, shares the painful secret of her suffering with Jania, another woman victimized by her husband and the two form a healing bond.",0161436
"Golem, le jardin pétrifié",1994,Drama,"Danny Cornish, a sort of stateless man who arranges art exhibits, is called from Tel Aviv to Paris with the news that a great uncle has died, in Birobidjan, the autonomous Jewish zone in ...                See full summary »",0143281
Hershele,1977,"Comedy, Musical",Hershele immigrates to Israel and is surprised by the situation of the Sephardic immigrants.,0076139
Under the Domim Tree,1994,Drama,Individual memories of a group of teenage Holocaust survivors in Israel creates sharp conflicts among them.,0109751
Timrot Ashan,2019,Drama,NA,10498644
The Man Who Loves Hebrew,1994,Drama,"At the beginning of the 20th century, a language war raged in Palestine. The contenders: Yiddish, Russian, French, German, English, and Hebrew, a language barely spoken for 2000 years. This...                See full summary »",0145001
Everything Is Broken Up and Dances,2016,"Comedy, Drama, Music","Nony, a shy college student, suffers severe shell shock in the Third Lebanon War. In an experimental treatment, the psychiatrist instructs his friends and family to play along with Nony's delusion that he is now a rock star named Amnon.",5176794
Mabat Koev,1994,Drama,NA,8362940
Noa at 17,1982,Drama,"Set in Israel 1951, Noa is a member of a youth movement who fights for her individuality, her right to doubt and question all beliefs - all conformisms. An ideological battle takes place ...                See full summary »",0084417
Cold Feet,2006,"Comedy, Drama, Romance","To get Married or Not! Is it just cold feet or a moment of truth - as the bride did not show to the ceremony, what should the groom do? Will they turn the situation for a true promising future?",0831925
Blank Bullet,2010,"Drama, Thriller",NA,1728247
Hamiklat,2007,"Drama, Thriller",An Israeli family (father and son) is forced to take refuge in the underground shelter upon realizing that Israel is under missile attack.,1387182
Rockinghorse,1978,Drama,"Ami Susetz, an Israeli artist, abandons his wife and daughter in New-York, and comes back to his home land after years of absence. Susetz wishes to decipher his constant feeling of failure ...                See full summary »",0152703
Hill Start,2014,Comedy,"A Comic drama that tells the story of the Geva family - a bourgeois family from Jerusalem. When the mother of the family, Ora, goes into a coma after a car accident, the family members try to bring her back in every way possible.",3919692
All My Loving,1986,Drama,NA,0143347
Lupo Goes to New York,1976,"Comedy, Drama",NA,0151418
And on the Third Day,2010,Drama,"This film describes Israel as a country already far beyond identity crises in which anarchy is everywhere, violence is the norm and life is ruled by the world view of ""the stupid, the evil and the corrupt"".",1619481
Vasermil,2007,Drama,The film is named after the local football stadium located in the town of Be'er Sheva in southern Israel. Vasermil tells the story of three teenagers who live in the same tough neighborhood...                See full summary »,1124001
Tzanani Family,1976,Comedy,A story about two neighbours and their families during a weekend.,0143688
Hide and Seek,1980,Drama,Twelve year-old Uri reports his teacher Balaban as a suspected spy when he observes him meeting with a young arab man. Only later does he discover that Balaban's interest in the young arab is romantic rather than political.,0130834
The Milky Way,1997,Drama,"1964, a village in Galilee. The Mukhtar collaborates with Israeli military rule. Someone is forging work permits, and the Mukhtar's son and a steady metalsmith, Mahmud, want to marry the ...                See full summary »",0135650
Green,1983,Drama,NA,0133817
Tel Aviv Taxi,1956,"Adventure, Comedy, Drama","A Tel Aviv taxi breaks down, and while the driver attempts to repair it, the passengers take shelter and relate tales to each other. One man relates how he became a hero, in a comic fashion...                See full summary »",0165511
Gentila,1998,Drama,"A drama about four malcontent and oddly matched characters on a three-day journey. Each an outcast: Gadi, a petty criminal on parole seeking to make his way back into mainstream society; ...                See full summary »",0143270
Fictitious Marriage,1988,Drama,"Eldad is about to go abroad, but changes his mind at the last minute. Instead of going home to Jerusalem, he disguises himself and takes a cheap hotel room in Tel Aviv. There he meets the ...                See full summary »",0099565
Requiem for the Night,,"Action, Sci-Fi","In the aftermath of a colossal war, the Geo-political foundations of the world are crumbling. Tel Aviv is huge, bleak, crowded, over-industrialized, and foreboding. Ruins lie jumbled ...                See full synopsis »",2643182
Vulcan Junction,1999,"Drama, Music","October 1973, a week before the Yom Kippur War. Five young men and one woman are on the verge of change, of facing new challenges, of beginning a new life. Vulcan Junction is a nostalgic ...                See full summary »",0242073
Foul Gesture,2006,"Comedy, Crime, Drama",NA,1090316
Here and Now,2018,Drama,"Here and Now is an authentic social drama told through the eyes of Andrey, a young immigrant living with her little sister in the slums of the city of Ashdod and struggling to assimilate into Israeli society.",8332364
Profile 21,,Action,The debts of our parents may carry a precarious price tag.,12855858
The Cellar,1963,Drama,NA,0057123
King of Beggars,2007,"Drama, War","Fishke, a lame Jewish bath attendant, stands up against the on going persecutions and killings of Jews and forms the first Jewish platoon in Russia of the 16th century.",0378345
Ricochets,1986,"Drama, War","The story of a platoon of Israeli soldiers in Lebanon of 1986, shortly before Israeli withdrawal, and the dilemmas they face in having to fight against Lebanese guerilla in a hostile but civilian area.",0091950
On a Narrow Bridge,1985,"Drama, Romance",NA,0133793
Don Juan of Galilee,2017,"Comedy, Romance",NA,6725826
On Air,1999,Drama,NA,0206457
La provocation,1970,Drama,An expedition of archaeology students in Israel.,0064849
Electric Blanket,1994,Drama,"The second chapter in Assi Dayan's trilogy centers on three marginal characters from ""Life According to Agfa"". Malka, a whore with a Romanian accent who dreams of becoming a singer, Levi, ...                See full summary »",0114477
Colombian Love,2004,"Comedy, Drama, Romance","Tali and Ori are a young Israeli couple. After attending their best friends' wedding, which ended in disaster, they have a big fight, which leads to Ori proposing. But there is trouble in ...                See full summary »",0358925
Infiltration,2010,Drama,"The 1956, a few years after the War of Independence and the establishment of the State of Israel. Immigration is at its peak, transit camps are scattered throughout the country. This is the...                See full summary »",1676681
Barren,2022,Drama,"A childless young ultra-orthodox couple faces a crisis after a traumatic treatment for barrenness. When the difference between good and bad is unclear, the family must deal with unresolved ...                See full summary »",21237894
Snooker,1975,Comedy,"The story is about two twin brothers, Azriel and Gavriel (both played by Yehuda Barkan). Azriel is a shy and religious Jew who works in a fruit shop in Jaffa. Gavriel, is a hoodlum and a ...                See full summary »",0152492
The Kind Words,2015,Drama,Follows three siblings who are going to discover the greatest secret of their late mother. This trip is going to change their lives.,3809478
David & Kamal,2011,Drama,"In Jerusalem, friendship develops between a Jewish 9-year-old American coin collector and the abused 9-year-old Arab street urchin trying to extort money from him.",1790672
Arabani,2013,Drama,"Yoseph is a Druze who returns to his native village after having been estranged from it for 17 years. He arrives with his son and daughter, whose Jewish mother he has just divorced.",2994212
It Rained All Night the Day I Left,1980,"Comedy, Crime","A tough rich female ranch owner in Africa wants to cut off the water supply to the locals, since she holds them responsible for the murder of her husband. She hires two charming gunrunners as help, but they suspect her shady competitor.",0077428
Back to Maracanã,2018,Drama,"When divorced Israeli dad Roberto finds himself on a spontaneous family trip from Israel to Brazil for the World Cup, with his Brazilian father, a soccer fanatic possibly, and his ...                See full summary »",8420768
Seven Minutes in Heaven,2008,Drama,"One morning Galia and her boyfriend board a local Jerusalem bus. It is packed with passengers, among them a suicide bomber. The bus explodes, leaving Galia with severe burns and memory loss...                See full summary »",1307009
The Delegation,,"Drama, History","The film tells the story of a group of Israeli teenagers who come to Poland for a tour of the Holocaust memorial sites. The main characters of the film are three friends: Nitzan, Frisch and...                See full summary »",19631596
Avanim,2004,Drama,"Michale is a thirty year old woman. She works with her father in a Tel Aviv accounting office providing services to important religious institutions. She divides her time between her child,...                See full summary »",0362427
Once There Was a Girl,2016,Drama,"Noa has unconventional relationships with her doctor, with her neighbor and with a young soldier. Sleepless, she wanders around, trying to find her place in the world, willing to do anything to get some warm attention.",5594412
The Wooden Gun,1979,Drama,"The Wooden Gun takes place in Tel Aviv in the early 1950s. In a clear-eyed fashion that would have been impossible in a film made by ""outsiders"", the plot details the conflict between ...                See full summary »",0144585
"Daughters, Daughters",1973,"Comedy, Drama","A man with eight daughters, and no hope of an heir, takes a mistress to console himself. He finally consults a magician who gives him a list of instructions on how to make a son. Soon his wife is pregnant again.",0133334
The Holy Land,2001,Drama,Mendy is a young man struggling to keep his mind focused on rabbinical school. His teacher tells him to rid himself of desires by visiting a prostitute in Tel Aviv. Mendy falls head over heels in love with a Russian harlot named Sasha.,0283387
Apples from the Desert,2014,"Drama, Romance","Rebecca Abarnabel, a single daughter born into an Orthodox Jewish family, is tired of the lifestyle that her father, Reuven, has forced upon her. She and her mother, Victoria, go on a life-changing journey between worlds.",3955672
"Goodbye, New York",1985,Drama,"Nancy Callighan is a spoiled Irish-Jewish lass who decides to see the world after her husband cheats on her. En route to Paris, Nancy takes a few too many sedatives - when she awakens, she's in Tel Aviv, minus money and luggage.",0089217
Obsession,2011,Comedy,"The 1960's, a Sephardic old neighborhood in Jerusalem. Micha, 6, timid and silent tells the story of his broken family. Sami, the father, a reckless ""easy go lucky"" womanizer spends his ...                See full summary »",1969118
Am Yisrael Hai,1981,Drama,"A minor politician, suffering with a temporary sexual disorder that is soon to be written about in the local press, is sent anonymously to Eilat for rest and pleasantries. His wife, ...                See full summary »",0087636
They Were Ten,1961,Drama,NA,0136991
Moments,1979,Drama,"Anne, a Parisian, visits her friend Yola in Tel Aviv, where Yola lives with her husband Avi and their son. There's tension in the air and the attraction between the two women is palpable. ...                See full summary »",0079787
Intimate Grammar,2010,Family,"A young boy with growth disorders lives through his daily life's tragedies and comedies, while struggling to come to terms with his own personal problems.",1676680
Hanna's shabbath dress,2021,Drama,"A cinematic rendition of the children's book, ""Hanna's Sabbath Dress"", by Isaac Damiel (Scwiger) - an 80-year-old Israeli classic, a magical Jewish fairy-tale that transcends generations. ...                See full summary »",13086146
Little Man,1978,"Drama, Romance",Five soldiers must decide which of them will assume responsibility for a woman's pregnancy.,0152430
A Green Chariot,2005,Drama,Emigration to Israel challenges Sasha's Jewish identity. Will love help him to go over this crisis?,2151741
Atalia,1984,Drama,"Atalia is a 40-year-old widow who lost her husband in the Six-Day War and lives on a kibbutz with her adolescent daughter. Lonely and feeling outcast, she enters into a forbidden affair ...                See full summary »",0143119
Haven,2013,Drama,"During the Second Lebanon War, Motti and Keren, a young orthodox couple from the North of Israel, looks for a place to stay to escape the bombings and stress of their hometown near the ...                See full summary »",3165442
Third Body,2020,NA,"Victoria, a transgender woman, embarks on a journey in search of release from the burden of the body and its limitations.",11502882
Parano,2005,"Adventure, Biography, Comedy",One man goes on a quest scanning the globe searching for evidence and meaning after aliens abduct him one night from his bed.,0180409
A Moment of Youth,2011,Drama,A moment of youth is a short film compilation that showcases nine up-and-coming directors from seven countries in five continents.,1926214
Death of a Jew,1969,Drama,"A confrontation between two enemies. One is a young, captured Israeli agent and the other an older Arab inspector who tries to get the agent talk by making him regain his desire to live.",0066321
Point of View,1989,"Comedy, Drama, Musical",Captain Ben Jacobson and his platoon are behind enemy lines to install secret military equipment.,0100382
Two Kuni Lemel,1966,"Drama, Sci-Fi","Reb Kalman, the matchmaker comes home on Shabbat to find out that Reb Pinchas has been there. He learns that RebPinchas wants him to find a husband from a good family for his daughter ...                See full summary »",0138101
Endtime,2014,Drama,Tomorrow will be the last day of your life. Where will YOU be when it all ends?,2461182
Paratroopers,1977,Comedy,"Not everyone is born to be a soldier. Not even in Israel, where universal conscription is the tradition. This movie is about a Sad Sack in the Israeli army, incompetent to complete training and yet incompetent to extricate himself.",0076525
Mr. Leon,1982,"Comedy, Drama",NA,0133339
Heroine,2016,Drama,"FIVE PROFESSIONS, FIVE WOMEN. A feature film comprising five short stories, written and directed by five women directors. The titles of each episode are the professions of the main ...                See full summary »",5921576
Shem,2004,Comedy,"Daniel, a young and arrogant Londoner, is bored to death in his life. His jewish grandmother asks him to go through Europe in order to find his grandfather's grave. Not only will Daniel ...                See full summary »",0406214
Four by Four,2016,"Adventure, Comedy, Drama","Oded wants to look cool in front of his boss, so he lies about knowing a secret beach in Sinai peninsula. Moti, the crazy CEO, decides to take Oded, and two other employees, to the terror-stricken peninsula.",6024062
Planet Blue,1995,"Drama, Mystery","Mulli, an Israeli young man, looses his backpack en route to Cairo and instead heads off to a surreal quest around the streets of Tel Aviv and Israel.",0112699
The Customer of the Off Season,1970,"Comedy, Drama, Romance",An ex-SS officer and his gorgeous wife find a refuge living in Eilat. A mysterious stranger appears from their past.,0147125
Untitled Project,2021,Drama,"Stuck in existential boredom, two high school students start a bold and complex project: kidnapping their entire school. What was supposed to be an end-of-year film will become a chilling documentation of the chain of events that follows.",15436012
Amor,2016,Drama,NA,4531764
Snapshot,2016,Drama,"Through her camera lens, Yael, a 30-year-old street photographer explores and discovers who she really is, dealing with a dark secret revealed about her beloved father.",6583298
The Ballad of the Weeping Spring,2012,Drama,"Jossef Tawila, the legendary tar player of the band Ensemble Tourqouise along with Avram Mufradi composed the Crying Spring Symphony. In the debut evening of the symphony's playing a car ...                See full summary »",2378091
Tsili,2014,"Comedy, Romance",NA,3966798
Home,(II,Drama,A romance set in 21st century Israel between two young Israelis trying to cope with the pressures of love and commitment in a reality that's aggressive hostile and isolating.,1784466
The Hour of Truth,1965,Drama,A German Jewish engineer is the only survivor of a concentration camp where he would work in a counterfeiting unit.,0059266
Night Soldier,1984,"Comedy, Drama","Set in the early eighties in Israel, ""Soldier of the Night"" is a horror film. It is the first Israeli horror film ever made. A beautiful young woman (Iris) meets an attractive young man (...                See full summary »",0128562
Love Sick,1995,"Comedy, Drama","The touching story of Victor, who lives with his mother in the REALLY bad part of town and runs an illegal TV cable station. One day he sees the beautiful Michaela and falls madly in love ...                See full summary »",0112665
I Like Mike,1961,NA,NA,0137009
Internet Junkie,2015,"Comedy, Musical","Inside the virtual world - A soldier looks for relationships, a teenager search for porn, women try to find love and the best -or any- lover in the area - outside the virtual world no one is what they seem.",5125940
Kuni Leml in Tel Aviv,1976,"Comedy, Drama","The competition between two identical brothers, one is an orthodox and the other is seclecur, who needs to move to Israel in order to marry a Jewish girl and inharrit a fortune.",0074766
Deconstructing the Ushers,2019,Drama,"3 stories revolving the Usher family. An elderly man seeks redemption by returning a dead friend's watch. A straight arrow, fights her brothers' desire to give their dying sister a ...                See full summary »",6027372
Sharqiya,2012,Drama,"Nobody really respects Camel Najer, the young Bedouin who works as a security guard at the central bus station. Neither his family, nor his colleagues. When the Israeli government threatens...                See full summary »",2190397
Kasztner's Ark,,"Comedy, Drama","The story of Rezsö (Rudolf) Kasztner and his rescue mission of 1.700 Hungarian Jews. In 1954 he was denounced in an Israeli Court for collaboration with the Nazis and subsequently assassinated for having ""sold his soul to the Devil"".",9467428
House Arrest,2016,"Comedy, Drama","Baby-mama-drama, crazy neighbors and a self-appointed parole officer await a man under house arrest in this adult animated comedy.",5748506
Fishke Goes to War,1971,"Adventure, Comedy, Fantasy","Israel's top secret unit receives a new soldier (which is not a soldier but a Rabbi) who comes to take care of his friend that joined the Unit, and to take care that the soldier will pray and believe in god and his Mitzvoth.",0067101
7 fois... par jour,1971,Drama,A Canadian/Israeli coproduction fantasy sexploitation comedyg by,0135741
Aviv,1998,"Drama, Family","A middle class, modern day urban family drama revolving around the complicated relationship between a strong-willed girl and her good-hearted father who finds himself responsible for her upbringing after his wife's death.",0162870
Eli & Ben,2008,Comedy,"The life of the Yassif family becomes almost impossible when the father who is the city architect, is charged with taking bribes.",1320376
Million Dollar Madness,1986,Drama,"Ephraim Rubin (Seffy Rivlin) is a bank manager. His life is one big mess: his bitch wife and son make his life miserable at home, and at work he is under tons of pressure. One day he ...                See full summary »",0091945
Emile's Girlfriend,2006,Drama,"In Tel Aviv, Yoav receives a visit from Delphine, the girlfriend of Emile, his boyfriend from Paris. Their day together in the city confronts their mutual expectations in the face of a complex Israeli society.",1046926
Melting Away,2011,"Drama, Comedy","When Shlomo discovers in his trans daughter's Assaf room, women's clothing and accessories, he decides to 'teach the boy a lesson'. When Assaf returns to her parents' home on a rainy night ...                See full summary »",1820531
Abba Ganuv,1987,"Drama, Thriller",Respectable single father and tour boat captain Chico fights tooth and nail to maintain custody of his dear son Ben while developing a romantic relationship with beautiful lawyer Galia.,0133331
Fellow Travellers,1983,Drama,NA,0144292
That's the Way You Love,2019,Drama,"Tamara, a successful career woman, lives in a world of high expectations and perfect performances. When she gives birth to her first daughter, the change shakes her world, altering the ...                See full summary »",9834798
Indoors,2016,"Drama, History, Thriller","Avraham is a small-time contractor who's trying to make it into the big-time, and therefor gambles on projects that exceed his capabilities. His family lives in the shadow of his career ...                See full summary »",5991264
Tubianski,2014,"Comedy, Drama",NA,3995806
Primo and Sabbatai,2022,Drama,"Primo is obsessed with Sabbatai Zevi, the false Messiah from Smyrna, whose life was a sequence of religious and sexual scandals. Identifying with the lost soul of the forgotten Zevi, Primo ...                See full summary »",12708228
Nelson,2019,"Comedy, Drama, Fantasy","This saga unfolds at the 1955 Court Martial in which Israeli soldier stands accused of desertion, during which he made his way via Europe to the swamps of Vietnam, in search of justice - and revenge.",8694428
Atlit,2014,"Drama, History","In October 1995 three French sisters gather in Atlit, Israel to sell the family home. Tensions arise between elders Darel and Cali when Darel proves unwilling to sell. That's when the sisters start seeing apparitions of their dead parents.",3288166
Kapo in Jerusalem,2015,"Action, Horror",An exploration of the moral and survival dilemmas in Auschwitz from the point of view of a deputy head of a block and a few of the prisoners from his block who survived the horrors of the ...                See full summary »,4495188
Cannon Fodder,2013,"Drama, History, War","Doron, a security operative, who takes on one last mission: to capture, number 3 in the terrorist organization of Hezbollah, in Lebanon. With an elite force, Doron enters Lebanon to ...                See full summary »",2526898
Beneath the Silence,2016,"Comedy, Drama, Romance","1973, a small family crumbles due to the father's PTSD, on the verge of the Yom Kipur War.",5805058
Escape to the Sun,1972,Drama,"Two young university students wish to escape the oppressive Soviet Union. But their plans are monitored by the KGB, who try to intimidate them. One of them is taken into custody and ...                See full summary »",0068546
Redemption,2018,Drama,"Menachem, a former frontman for a rock band, is now religious, and a father to a six-year-old. When his daughter is diagnosed with cancer, he must find a creative solution to fund the ...                See full summary »",8666442
The Art of Waiting,2019,"Comedy, Drama","Liran and Tali, a couple in their thirties who dream of having a child together, are one day told that they will have to undergo fertility treatments. What seems simple at first turns out to be very complex.",8757258
Watch Over Her,2014,Drama,"Watch Over Her is a film that tells the story of Natalie Luntal, a press photographer who comes to Syria with a journalist delegation. What Natalie does not know is that her father is a ...                See full summary »",7307210
Five Cities Four Women,,Drama,A mesmerizing anthology of stories set during Covid Lockdown. Four voices of female escorts from different cities and one pimp question and contemplate through their experiences and responses to human interaction during the Pandemic.,16915764
Love Letter to Cinema,2014,"Comedy, Drama","Love Letters to Cinema is a collection of ten ""letters"" in the form of short films (4 minutes each), written and directed by ten outstanding Israeli directors. The films and the directors ...                See full summary »",4331676
Echo,2018,Drama,"Avner suspects his wife Ella of having an affair. Secretly recording her telephone conversations, he turns into a spy in his own home. But while searching for one thing, he discovers another - the woman he listens to is a stranger to him.",8660416
Youth,2013,Drama,Two brothers kidnap a schoolmate to contribute to the family's income.,2670524
Yellow Asphalt,2000,"Drama, Romance","Three stories set among the Bedouin of Jahalin in the hills of the Judean desert. On an almost deserted highway, two Israeli truckers strike a Bedouin lad accidentally. Before they can flee...                See full summary »",0289074
Beyond the Mountains and Hills,2016,Drama,"Returning to civilian life after twenty-seven years in the army isn't as easy as David had hoped. It's hard to re-establish daily contact with his family, with the dimension of his home and...                See full summary »",5695672
Personal Affairs,2016,Drama,"In Nazareth, an old couple lives wearily to the rhythm of the daily routine. On the other side of the border, in Ramallah, their son Tarek wishes to remain an eternal bachelor, their ...                See full summary »",5695668
Azimuth,2017,"Action, Drama, War","At the end of The Six Day War of 1967, two soldiers, an Egyptian and an Israeli, encounter each other in the Sinai desert. Two soldiers - one goal: Survival.",6567960
Saints Rest,2018,"Drama, Music, Musical","A musical drama set in small-town Iowa, SAINTS REST tells the story of two estranged sisters, who over the course of one summer, form a connection through their shared love of music, as they grieve the recent death of their mother.",5936578
Rapid Eye Movement,2003,"Drama, Thriller","Amit, a promising filmmaker, suspects his wife Adi is having an affair. While trying to verify his suspicions, Sofia, a mysterious actress invades his life, pulling him into a whirlpool of doubt.",0889221
Baumschlager,2017,Comedy,"In the break of an unexpected peace between Israel and Lebanon, an Austrian UN officer serves the border - his name is Baumschlager. No one would guess by the look of him, but Baumschlager ...                See full summary »",5520404
Hahithalfut,2011,Drama,A family man becomes obsessed with looking at his own life out of context.,1441368
